alloc_offset_mb,resident_mb,live_mb,L_resident,L_cumulative,wall_ms,live_closures_mb,live_thunks_mb,live_bindings_mb,live_lists_mb,live_pairs_mb,bridge_closures,bridge_attrs,bridge_lists
32.00,32.00,9.61,0.3004,0.5723,580.3,0.09,1.36,5.62,0.38,2.17,0,0,0
64.00,64.00,32.29,0.5045,0.6278,885.9,0.20,4.41,19.69,1.18,6.81,0,0,0
96.00,96.00,59.30,0.6177,0.6818,2292.2,0.33,6.40,42.88,1.66,8.04,0,0,0
128.00,128.00,82.66,0.6458,0.6531,8275.9,0.62,8.78,61.27,2.23,9.76,0,0,0
160.00,160.00,103.89,0.6493,0.6507,9400.9,0.70,11.82,74.05,3.15,14.18,0,0,0
192.00,192.00,123.77,0.6446,0.6520,10914.1,0.77,13.89,87.95,3.71,17.45,0,0,0
224.00,224.00,134.13,0.5988,0.6166,13259.6,0.91,16.22,92.32,4.37,20.30,0,0,0
256.00,256.00,143.71,0.5614,0.5878,16745.5,1.16,18.25,98.63,4.83,20.84,0,0,0
288.00,288.00,159.18,0.5527,0.5833,19577.3,1.32,21.98,106.81,5.98,23.08,0,0,0
320.00,320.00,173.32,0.5416,0.5760,22735.6,1.43,25.88,112.19,7.26,26.55,0,0,0
352.00,352.00,187.97,0.5340,0.5713,47904.8,1.61,29.14,120.54,8.17,28.51,0,0,0
384.00,384.00,201.40,0.5245,0.5635,63512.4,1.84,32.64,127.79,9.07,30.07,0,0,0
432.00,432.00,206.98,0.4791,0.5376,88744.5,2.03,34.44,130.49,9.51,30.50,0,0,0
